"Freq [GHz]","dB(S(1,1)) []"
4.8,-3.88543903837166
4.82,-4.21653409021003
4.84,-4.58234718443583
4.86,-4.98721184215871
4.88,-5.43615975244396
4.9,-5.93509111648509
4.92,-6.49100710694088
4.94,-7.11233275567611
4.96,-7.80937307576584
4.98,-8.59496748163487
5,-9.48544070954027
5.02,-10.5019924292866
5.04,-11.6727014882229
5.06,-13.0352200332245
5.08,-14.6393894904474
5.1,-16.5444789044481
5.12,-18.7831086895803
5.14,-21.164871072757
5.16,-22.6760598688686
5.18,-21.9148799555006
5.2,-19.7298042973275
5.22,-17.4786512241224
5.24,-15.5385674135855
5.26,-13.9119605350082
5.28,-12.5396892978135
5.3,-11.3668659891392
5.32,-10.3512087272633
5.34,-9.4611508630304
5.36,-8.67299979754516
5.38,-7.96869850512342
5.4,-7.33424929746677
5.42,-6.75862891098122
5.44,-6.2330369376545
5.46,-5.75037294826141
5.48,-5.30489166913165
5.5,-4.8919826165444
5.52,-4.50798708390955
5.54,-4.15003862538464
5.56,-3.81595733653671
5.58,-3.50418288753326
5.6,-3.21372081962429
5.62,-2.94408975784811
5.64,-2.69526283121028
5.66,-2.46759770050636
5.68,-2.26175084812247
5.7,-2.07857427730549
5.72,-1.91899645089053
5.74,-1.7838937031753
5.76,-1.67396262267789
5.78,-1.58960687161999
5.8,-1.53085245539783
5.82,-1.49730296080121
5.84,-1.48814102201032
5.86,-1.50217548801381
5.88,-1.53792729226629
5.9,-1.59374264958586
5.92,-1.66792106933039
5.94,-1.75884806649934
5.96,-1.86512810354525
5.98,-1.98572209513286
6,-2.12010687292327
6.02,-2.26849535533635
6.04,-2.43219601346084
6.06,-2.61427247031727
6.08,-2.82084322066067
6.1,-3.06375380749804
6.12,-3.36613684395222
6.14,-3.77324774168754
6.16,-4.36658883396687
6.18,-5.23794389629591
6.2,-6.26529242617364
6.22,-6.90110782111948
6.24,-6.9776910460322
6.26,-6.9180154115891
6.28,-6.96486371866826
6.3,-7.15324534776994
6.32,-7.46873587608795
6.34,-7.89879313732098
6.36,-8.44072351291386
6.38,-9.10141025277311
6.4,-9.89697446290772
6.42,-10.8538718370581
6.44,-12.0118435445459
6.46,-13.4289608045028
6.48,-15.1871140808024
6.5,-17.3817093498792
6.52,-19.9837501288558
6.54,-22.0701075903143
6.56,-21.3522068025563
6.58,-18.6046527437444
6.6,-15.8784937972815
6.62,-13.6174409484368
6.64,-11.7698756368967
6.66,-10.2420443980664
6.68,-8.96107504945142
6.7,-7.87492651776544
6.72,-6.9461757955753
6.74,-6.14723190257552
6.76,-5.45731983297972
6.78,-4.86039763593005
6.8,-4.34209533810699
6.82,-3.88866495654157
6.84,-3.49123140276588
6.86,-3.14339387869339
6.88,-2.83895947514009
6.9,-2.57229005130217
6.92,-2.33849014907882
6.94,-2.13336056380547
6.96,-1.95330687157458
6.98,-1.79525341704316
7,-1.6565702043786
7.02,-1.53501178517952
7.04,-1.42866626914113
7.06,-1.33591287812812
7.08,-1.25538685391374
7.1,-1.18595084290058
7.12,-1.12667212620339
7.14,-1.07680527026958
7.16,-1.03577996568299
7.18,-1.0031940180918
7.2,-0.978811669432117
