"Phi [deg]","Theta [deg]","Freq [GHz]","dB(RealizedGainTotal) []"
0,0,4.8,4.47181707249381
0,0,4.82,4.719078235886
0,0,4.84,4.9594418379105
0,0,4.86,5.1920331752929
0,0,4.88,5.41595017203776
0,0,4.9,5.630275645897
0,0,4.92,5.83409174589529
0,0,4.94,6.02649630400641
0,0,4.96,6.20662080906403
0,0,4.98,6.37364899168502
0,0,5,6.52683573103194
0,0,5.02,6.66552440306164
0,0,5.04,6.78916236303786
0,0,5.06,6.89731319512011
0,0,5.08,6.98966446699211
0,0,5.1,7.06603093966063
0,0,5.12,7.12635180747484
0,0,5.14,7.1706828518114
0,0,5.16,7.19918297715323
0,0,5.18,7.21209578196106
0,0,5.2,7.20972717152474
0,0,5.22,7.19241956688412
0,0,5.24,7.16052354971328
0,0,5.26,7.11436812644407
0,0,5.28,7.05422970484961
0,0,5.3,6.98030039897449
0,0,5.32,6.89265608383159
0,0,5.34,6.79122369621659
0,0,5.36,6.67574755248233
0,0,5.38,6.54575390561548
0,0,5.4,6.40051291623022
0,0,5.42,6.23899498451301
0,0,5.44,6.05981730585092
0,0,5.46,5.86117874157678
0,0,5.48,5.64079758068569
0,0,5.5,5.39586126736636
0,0,5.52,5.12294910019125
0,0,5.54,4.8179073713156
0,0,5.56,4.47570296040277
0,0,5.58,4.09025579587679
0,0,5.6,3.65422704270672
0,0,5.62,3.15873602105313
0,0,5.64,2.59296587598892
0,0,5.66,1.94359186098326
0,0,5.68,1.19391267298902
0,0,5.7,0.32246798766458
0,0,5.72,-0.699271722160931
0,0,5.74,-1.91097403069573
0,0,5.76,-3.37107079185857
0,0,5.78,-5.1722310611835
0,0,5.8,-7.47623953346746
0,0,5.82,-10.6043348974107
0,0,5.84,-15.3027680905365
0,0,5.86,-22.3059911425759
0,0,5.88,-18.3543154045742
0,0,5.9,-12.7444107337677
0,0,5.92,-9.26825479330773
0,0,5.94,-6.8474528110487
0,0,5.96,-5.02426201061087
0,0,5.98,-3.5823069166799
0,0,6,-2.40355234193037
0,0,6.02,-1.41663359039244
0,0,6.04,-0.575159038013381
0,0,6.06,0.152542074065832
0,0,6.08,0.788631631808267
0,0,6.1,1.34839313299884
0,0,6.12,1.84122467788987
0,0,6.14,2.27041551960993
0,0,6.16,2.63326586060426
0,0,6.18,2.92983485620445
0,0,6.2,3.19378891579174
0,0,6.22,3.49295415061997
0,0,6.24,3.83773789872828
0,0,6.26,4.18498119552889
0,0,6.28,4.50951860169342
0,0,6.3,4.80757682928395
0,0,6.32,5.08191450692455
0,0,6.34,5.33568862173065
0,0,6.36,5.57112215281826
0,0,6.38,5.78946242809332
0,0,6.4,5.99116214407706
0,0,6.42,6.17604837739872
0,0,6.44,6.34345100064194
0,0,6.46,6.49230276962305
0,0,6.48,6.62122556550981
0,0,6.5,6.72861454056599
0,0,6.52,6.81272690757859
0,0,6.54,6.87177905064554
0,0,6.56,6.90405078852324
0,0,6.58,6.90799368281532
0,0,6.6,6.8823362331501
0,0,6.62,6.82617747524718
0,0,6.64,6.73905915626152
0,0,6.66,6.62100894560692
0,0,6.68,6.47254844829707
0,0,6.7,6.29466498203972
0,0,6.72,6.08875375032331
0,0,6.74,5.85656222121287
0,0,6.76,5.60027260033556
0,0,6.78,5.32304214443362
0,0,6.8,5.02882760915052
0,0,6.82,4.7186759447062
0,0,6.84,4.39251215139786
0,0,6.86,4.05250369775292
0,0,6.88,3.70112885715321
0,0,6.9,3.34039979536995
0,0,6.92,2.9719476585842
0,0,6.94,2.59712103148912
0,0,6.96,2.21703371505628
0,0,6.98,1.83259024766012
0,0,7,1.44450332443616
0,0,7.02,1.05330795522631
0,0,7.04,0.65937401437261
0,0,7.06,0.262916636904092
0,0,7.08,-0.135994758603542
0,0,7.1,-0.537430169004534
0,0,7.12,-0.941594277458073
0,0,7.14,-1.34882418689372
0,0,7.16,-1.7595888705366
0,0,7.18,-2.17449026638187
0,0,7.2,-2.59426435587247
