"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
6.6,0,-180,-34.1887788945713,-24.8298421218815
6.6,0,-178,-34.3945387392778,-27.4457621373841
6.6,0,-176,-34.6767456372163,-21.5559478950972
6.6,0,-174,-35.0343960116991,-17.3388210657455
6.6,0,-172,-35.4669012834714,-14.4804968727447
6.6,0,-170,-35.9739417810094,-12.3767653332969
6.6,0,-168,-36.5551758154065,-10.7422098592278
6.6,0,-166,-37.2096761494306,-9.42784861311629
6.6,0,-164,-37.9348766296232,-8.34722487042613
6.6,0,-162,-38.7246737081056,-7.44591374287873
6.6,0,-160,-39.566160363352,-6.68745693131945
6.6,0,-158,-40.4344292315367,-6.04621321088381
6.6,0,-156,-41.2855227374095,-5.5034288567732
6.6,0,-154,-42.0501935185172,-5.04493714221037
6.6,0,-152,-42.6366330787555,-4.65973959403281
6.6,0,-150,-42.9538619385829,-4.33909148930071
6.6,0,-148,-42.9538602265964,-4.07588891655764
6.6,0,-146,-42.6603623948013,-3.86424280648075
6.6,0,-144,-42.1535845841358,-3.69917215324917
6.6,0,-142,-41.5277547611541,-3.57637469210038
6.6,0,-140,-40.8595012291942,-3.49204836595831
6.6,0,-138,-40.199099438276,-3.44274594021504
6.6,0,-136,-39.5748133262418,-3.42525072219466
6.6,0,-134,-39.0001430908144,-3.43646496783278
6.6,0,-132,-38.4797199536014,-3.47330508205258
6.6,0,-130,-38.0131828896341,-3.53259971276782
6.6,0,-128,-37.5975029540278,-3.61098872944811
6.6,0,-126,-37.2283185934787,-3.70482322944782
6.6,0,-124,-36.9006899546719,-3.81006945214395
6.6,0,-122,-36.6095253033389,-3.92222304974482
6.6,0,-120,-36.3498264583807,-4.03624462197399
6.6,0,-118,-36.1168355760612,-4.14653242726187
6.6,0,-116,-35.9061282144405,-4.24695270404347
6.6,0,-114,-35.7136763645399,-4.33095009501898
6.6,0,-112,-35.5358932020005,-4.39175738638991
6.6,0,-110,-35.3696647353601,-4.42271212748837
6.6,0,-108,-35.2123700816196,-4.41766627717128
6.6,0,-106,-35.0618905309682,-4.3714464761953
6.6,0,-104,-34.9166071319042,-4.28029514733317
6.6,0,-102,-34.7753867659877,-4.14220872515903
6.6,0,-100,-34.6375572608501,-3.95709953621111
6.6,0,-98,-34.5028727689563,-3.72674359016104
6.6,0,-96,-34.3714712417478,-3.45452656064471
6.6,0,-94,-34.2438262397242,-3.1450454362237
6.6,0,-92,-34.1206954844956,-2.80364731482942
6.6,0,-90,-34.0030684785769,-2.43598443686202
6.6,0,-88,-33.8921152336932,-2.0476425056118
6.6,0,-86,-33.7891377239416,-1.6438700269977
6.6,0,-84,-33.695525188318,-1.22941065221666
6.6,0,-82,-33.6127139121722,-0.808423812141767
6.6,0,-80,-33.5421516664354,-0.384471661798258
6.6,0,-78,-33.4852666040548,0.0394499769103796
6.6,0,-76,-33.4434401131944,0.460855495891954
6.6,0,-74,-33.4179829003184,0.877702210967026
6.6,0,-72,-33.4101134086771,1.28832128166583
6.6,0,-70,-33.4209375516244,1.69135247024148
6.6,0,-68,-33.4514286403907,2.08568564737912
6.6,0,-66,-33.5024063032327,2.47041014537066
6.6,0,-64,-33.5745131271939,2.84477196121452
6.6,0,-62,-33.6681877171274,3.20813821384079
6.6,0,-60,-33.7836328867916,3.5599679895589
6.6,0,-58,-33.920777821436,3.8997886406749
6.6,0,-56,-34.079233353601,4.22717664658504
6.6,0,-54,-34.2582400779666,4.54174224778931
6.6,0,-52,-34.456610034028,4.84311718628796
6.6,0,-50,-34.6726642688934,5.1309450104538
6.6,0,-48,-34.9041709125355,5.40487351780114
6.6,0,-46,-35.1482915340031,5.66454900991149
6.6,0,-44,-35.4015473730506,5.90961211830154
6.6,0,-42,-35.6598210301648,6.1396950282737
6.6,0,-40,-35.9184121996191,6.35441998079175
6.6,0,-38,-36.1721661525539,6.55339897165349
6.6,0,-36,-36.4156885086837,6.73623459435422
6.6,0,-34,-36.6436473057842,6.90252198977392
6.6,0,-32,-36.8511433364122,7.05185187389974
6.6,0,-30,-37.0341057030286,7.1838146159266
6.6,0,-28,-37.1896493288121,7.29800533494248
6.6,0,-26,-37.3163246075453,7.39402997563379
6.6,0,-24,-37.4142033726603,7.47151231357025
6.6,0,-22,-37.4847786055615,7.53010183000252
6.6,0,-20,-37.5306971025219,7.56948238580947
6.6,0,-18,-37.5553795210115,7.58938161495073
6.6,0,-16,-37.5625992745807,7.58958094968934
6.6,0,-14,-37.5560881602616,7.56992618249804
6.6,0,-12,-37.5392184304398,7.53033846179556
6.6,0,-10,-37.5147878207737,7.47082560856351
6.6,0,-8,-37.4849136367084,7.39149362582046
6.6,0,-6,-37.451027958591,7.29255824957069
6.6,0,-4,-37.4139581047115,7.17435635443802
6.6,0,-2,-37.3740725058454,7.0373569758543
6.6,0,0,-37.3314698290149,6.8821716399327
6.6,0,2,-37.2861873341447,6.70956359977642
6.6,0,4,-37.2384032041024,6.520455463064
6.6,0,6,-37.188608079384,6.31593456425373
6.6,0,8,-37.1377245302483,6.09725529520034
6.6,0,10,-37.0871602333432,5.86583747734321
6.6,0,12,-37.0387903850411,5.62325976273489
6.6,0,14,-36.9948753532893,5.37124702497516
6.6,0,16,-36.9579282505536,5.11165078667059
6.6,0,18,-36.9305520592439,4.84642197114366
6.6,0,20,-36.9152664868753,4.57757569862503
6.6,0,22,-36.9143415598167,4.30714848531162
6.6,0,24,-36.9296496479335,4.0371490244859
6.6,0,26,-36.9625418937896,3.76950465923484
6.6,0,28,-37.0137502770967,3.50600656912783
6.6,0,30,-37.0833135603805,3.24825741957564
6.6,0,32,-37.1705243758958,2.99762558270561
6.6,0,34,-37.2738956076824,2.75520988804385
6.6,0,36,-37.3911466811611,2.52181814012101
6.6,0,38,-37.5192139401794,2.2979614064886
6.6,0,40,-37.6542933002808,2.08386451164746
6.6,0,42,-37.7919267837494,1.87949153171932
6.6,0,44,-37.9271458471154,1.68458365143996
6.6,0,46,-38.054681705009,1.49870574602307
6.6,0,48,-38.1692444108803,1.32129760609433
6.6,0,50,-38.2658578295547,1.15172583069835
6.6,0,52,-38.3402190024038,0.989332963100644
6.6,0,54,-38.3890332308098,0.833481267671862
6.6,0,56,-38.4102680882382,0.683589463599363
6.6,0,58,-38.4032768515099,0.539161591719619
6.6,0,60,-38.368765412974,0.399807894614027
6.6,0,62,-38.3086100856192,0.265258092191882
6.6,0,64,-38.2255653498087,0.135367735840985
6.6,0,66,-38.1229198050507,0.0101184549917309
6.6,0,68,-38.0041606785404,-0.110387082924049
6.6,0,70,-37.8726947707004,-0.225934745031372
6.6,0,72,-37.7316537231944,-0.336212380245761
6.6,0,74,-37.5837912839251,-0.440826573537416
6.6,0,76,-37.4314645444713,-0.539322199297274
6.6,0,78,-37.2766815141415,-0.63120428178833
6.6,0,80,-37.1211932627427,-0.715961639924374
6.6,0,82,-36.9666087376031,-0.793091722829441
6.6,0,84,-36.8145128121176,-0.86212594648902
6.6,0,86,-36.6665721103874,-0.922654741194389
6.6,0,88,-36.5246179654947,-0.974351438842826
6.6,0,90,-36.3907009505345,-1.01699409303947
6.6,0,92,-36.2671162440641,-1.05048435399341
6.6,0,94,-36.1564031556207,-1.07486262712815
6.6,0,96,-36.0613250597259,-1.09031893073424
6.6,0,98,-35.9848376030464,-1.09719912287437
6.6,0,100,-35.9300534544599,-1.09600646832391
6.6,0,102,-35.9002113788153,-1.08739883126787
6.6,0,104,-35.8986564722497,-1.07218207400267
