"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(3,1)) []","dB(S(4,1)) []"
4.8,-3.48912646502557,-31.3740516764149,-27.5387709459132,-31.4270752793422
4.82,-3.80296112066038,-31.0832517990177,-27.0613736318779,-31.1376092037929
4.84,-4.15127477588133,-30.8004476056663,-26.5926768460743,-30.8553699513238
4.86,-4.53839798114448,-30.5261151368451,-26.1344815412397,-30.5807195727148
4.88,-4.96930362635614,-30.260502680216,-25.6886460173849,-30.3137918501138
4.9,-5.44974195477901,-30.0035745222188,-25.2570493449693,-30.0544414467329
4.92,-5.98642072883211,-29.7549607596293,-24.8415467696265,-29.802200845906
4.94,-6.58724978625484,-29.513920968082,-24.4439179726912,-29.5562527831308
4.96,-7.26167726906568,-29.2793307090855,-24.0658099543347,-29.3154266958783
4.98,-8.02115492322488,-29.0496997111634,-23.7086772877698,-29.0782270864736
5,-8.87977954094569,-28.8232283485593,-23.3737234626516,-28.8428989584757
5.02,-9.85515540779586,-28.5979042895532,-23.0618478700461,-28.6075303339787
5.04,-10.969465519107,-28.3716340805538,-22.7736035634896,-28.3701846991617
5.06,-12.2504719176885,-28.1423961437367,-22.5091711867588,-28.1290484432165
5.08,-13.7311197334032,-27.9083943572987,-22.2683544038945,-27.8825721887555
5.1,-15.4424785321387,-27.6681876521439,-22.0506019431839,-27.6295827823285
5.12,-17.3803266468718,-27.4207728587884,-21.8550612833687,-27.3693461578569
5.14,-19.3823070735183,-27.1656055860419,-21.6806695810355,-27.1015700107235
5.16,-20.8419422360144,-26.9025551966665,-21.526289455912,-26.8263469215551
5.18,-20.8282733237792,-26.6318013448643,-21.3909019490736,-26.5440498065273
5.2,-19.4316386178857,-26.3536872891335,-21.2738783839972,-26.2551993146042
5.22,-17.5987729879187,-26.0685468486985,-21.1753705732431,-25.9603257909394
5.24,-15.8627806828242,-25.7765169635627,-21.0968913954161,-25.6598477358268
5.26,-14.3514499186381,-25.4773375464897,-21.042217386896,-25.3539872289407
5.28,-13.0582636329772,-25.1701271919121,-21.0188533339344,-25.0427440390626
5.3,-11.947863829537,-24.8531132574901,-21.0404891848359,-24.7259546553772
5.32,-10.9832897317955,-24.5233081193101,-21.1311753204443,-24.4034546494923
5.34,-10.130560276071,-24.1762279496488,-21.3322022980574,-24.0752613962312
5.36,-9.35785517562409,-23.8061079193764,-21.7118204562556,-23.7412110858526
5.38,-8.63616443410285,-23.407660664384,-22.3707889745998,-23.3979929176153
5.4,-7.94841736818843,-22.9788314476613,-23.40444927194,-23.0294242518726
5.42,-7.30965688816027,-22.5119551146008,-24.6932869513132,-22.5901762706883
5.44,-6.77374018215653,-21.9494142716563,-25.467846865986,-21.9986117121686
5.46,-6.39485508480834,-21.148658063494,-24.7068211794935,-21.148716389019
5.48,-6.15920936224028,-20.0548767025555,-22.3031780827208,-20.0306571916082
5.5,-5.77198820227789,-19.5273996811889,-19.0300754350538,-19.4904260149467
5.52,-5.08706904559577,-20.9576359727423,-17.4099806022549,-20.8832998177802
5.54,-4.65818166299688,-22.5538574058451,-17.176379018536,-22.4416824249543
5.56,-4.40310098113372,-23.2584149037093,-17.1004278182577,-23.1384289247056
5.58,-4.20538203993959,-23.4601653322558,-16.9617252892375,-23.3511619107886
5.6,-4.03274782627704,-23.4798302406345,-16.7750529792381,-23.3874697211676
5.62,-3.87706739612496,-23.4551234205998,-16.5678297009852,-23.3799233251609
5.64,-3.73646467762465,-23.442335052329,-16.3588200830244,-23.3835324880945
5.66,-3.61092878725156,-23.4663584638061,-16.160522697589,-23.4232189097595
5.68,-3.50113325766153,-23.5392485375663,-15.9818374580008,-23.5114481180812
5.7,-3.40804489086831,-23.6669051777455,-15.8293399236098,-23.6546170586969
5.72,-3.33270731767605,-23.8515451533485,-15.7076679270125,-23.8554398923962
5.74,-3.27603698172245,-24.0927584570046,-15.6195060457483,-24.1139839187382
5.76,-3.23861074850173,-24.3881751507024,-15.5654929180536,-24.4283334294034
5.78,-3.22047369409721,-24.7340434266939,-15.5442366563292,-24.7951644269621
5.8,-3.22100197706859,-25.1256613534969,-15.5524917373683,-25.2101613273762
5.82,-3.23884368093489,-25.5574040598453,-15.585437634185,-25.668000673806
5.84,-3.27195803724239,-26.0219502151871,-15.636935435491,-26.1614717861124
5.86,-3.31779904477053,-26.5081805912769,-15.6996724962201,-26.6791392094692
5.88,-3.37372270959894,-26.9971921095261,-15.7653273336292,-27.2008860970239
5.9,-3.43766274604862,-27.4565003722312,-15.8253322904599,-27.6913884786583
5.92,-3.50896628262599,-27.8351621997298,-15.8730447428318,-28.0947454036354
5.94,-3.58913004279754,-28.0681642113985,-15.9071207981163,-28.3401062571533
5.96,-3.68216125011906,-28.1007550555808,-15.933620763914,-28.3701195292623
5.98,-3.7942186098855,-27.925604186709,-15.9636610011827,-28.1818889426432
6,-3.93218153169091,-27.5959866708317,-16.0067441820664,-27.8378126821903
6.02,-4.10156232891941,-27.1939519394515,-16.0645055319621,-27.4273454143076
6.04,-4.30511859642062,-26.7868540425294,-16.1298244266809,-27.0207285585601
6.06,-4.54293782395499,-26.410447380652,-16.1914609822116,-26.6538393689626
6.08,-4.81315985465255,-26.0788403435214,-16.2405405906178,-26.3407518478662
6.1,-5.1118254252049,-25.8056504076516,-16.2759891604309,-26.0966355156274
6.12,-5.43081181889679,-25.6303087032547,-16.3087490748251,-25.9653871112769
6.14,-5.75411834656921,-25.6554271880155,-16.3666014227309,-26.0592291070815
6.16,-6.05657247790175,-26.1024379450836,-16.5051436701751,-26.6202696851471
6.18,-6.30893703506096,-27.3489261133279,-16.8329267797899,-28.0725875708119
6.2,-6.46134156056565,-29.7241029182359,-17.4949383316484,-30.8237740380884
6.22,-6.44601813457446,-32.815608361277,-18.5061966362989,-34.3287636191155
6.24,-6.3217288070098,-35.1943358455116,-19.7361495487908,-36.2035650392078
6.26,-6.23798663576168,-35.8223482206836,-21.1078152445248,-35.6612760337301
6.28,-6.2811450266185,-35.2327566252904,-22.5952605899328,-34.5372266157403
6.3,-6.46712001354199,-34.2822906640746,-24.1652389951463,-33.5870135628075
6.32,-6.78446247777467,-33.3533515810913,-25.7760766518745,-32.8538756154251
