"Freq [GHz]","DG12 []","DG13 []","DG14 []","DG23 []","DG24 []","DG34 []"
4.8,9.99993574286746,9.99999669358582,9.99993775673224,9.99994209667554,9.9999966872698,9.99993988044603
4.82,9.99994923217021,9.99999796583974,9.9999508135493,9.99995432939951,9.99999796095365,9.99995255225018
4.84,9.99996063437971,9.99999880253887,9.99996183489499,9.99996464140992,9.99999879863546,9.99996323184696
4.86,9.99997010994649,9.99999932779335,9.99997098601137,9.99997318968653,9.999999324659,9.99997208531217
4.88,9.99997783619449,9.99999964095389,9.99997844578078,9.99998014423703,9.99999963848686,9.99997929108647
4.9,9.99998400322291,9.99999981743461,9.99998440279177,9.99998568437494,9.99999981556108,9.99998503612702
4.92,9.99998880870827,9.99999991110569,9.99998905053307,9.99998999411425,9.99999990973871,9.99998951124416
4.94,9.99999245196351,9.99999995788309,9.99999258203815,9.99999325700061,9.99999995691635,9.99999290593992
4.96,9.99999512775887,9.99999997992802,9.99999518442217,9.99999565082025,9.99999997924862,9.9999954031778
4.98,9.99999702048549,9.9999999897934,9.99999703380953,9.99999734268524,9.99999998929724,9.99999717456368
5,9.99999829921755,9.99999999395252,9.9999982911204,9.99999848496243,9.99999999355129,9.99999837638468
5.02,9.99999911409417,9.99999999537982,9.99999909906204,9.99999921238934,9.99999999499535,9.99999914683071
5.04,9.99999959421674,9.99999999511342,9.9999995804715,9.9999996405172,9.9999999946583,9.9999996045278
5.06,9.99999984697847,9.99999999286848,9.99999983791166,9.99999986537507,9.99999999220912,9.99999984827481
5.08,9.9999999584581,9.99999998668155,9.99999995416996,9.9999999639961,9.99999998557383,9.99999995763108
5.1,9.9999999942536,9.99999997123912,9.99999999307638,9.9999999952152,9.99999996922199,9.99999999377846
5.12,9.99999999991513,9.99999993407408,9.99999999984904,9.99999999994308,9.99999993030807,9.9999999998804
5.14,9.9999999999405,9.99999984834526,9.99999999997248,9.99999999992123,9.99999984138928,9.99999999996461
5.16,9.99999999407312,9.99999966054191,9.99999999536871,9.99999999372358,9.99999964806936,9.99999999511763
5.18,9.99999994932668,9.99999927115966,9.99999995627175,9.99999994842979,9.99999924961799,9.99999995544057
5.2,9.99999978566932,9.99999850607226,9.9999998066826,9.99999978488323,9.99999847029676,9.99999980569645
5.22,9.99999935252786,9.9999970759773,9.99999940047096,9.99999935368032,9.99999701881414,9.99999940177865
5.24,9.99999839205527,9.99999452149958,9.99999848398609,9.99999839792351,9.99999443366557,9.99999849388472
5.26,9.99999648312978,9.99999014462283,9.99999663930992,9.99999649719515,9.99999001551043,9.99999667027612
5.28,9.99999295660767,9.99998294020812,9.99999319990229,9.99999298503767,9.99998276138544,9.99999327201618
5.3,9.99998676564093,9.99997158383862,9.99998712730903,9.99998682920946,9.99997135844278,9.99998726223583
5.32,9.99997628027524,9.99995464996672,9.99997683381543,9.9999764590482,9.99995440996151,9.99997701827788
5.34,9.99995894230598,9.99993150039064,9.99995992948312,9.9999595111138,9.99993131526179,9.99995997905092
5.36,9.99993064848214,9.99990462033329,9.99993284483123,9.99993240972759,9.99990451010679,9.99993200073297
5.38,9.99988465134081,9.99988340644189,9.99989013404027,9.99988946463137,9.99988298810657,9.99988615954114
5.4,9.99980987873632,9.9998839131107,9.99982268524621,9.99982039700271,9.99988207847834,9.99981080127424
5.42,9.99968862314119,9.99991291830539,9.99971284353301,9.99970388490248,9.99990911766769,9.99968687842481
5.44,9.99948921238882,9.99995156838089,9.99952388749018,9.99949488350997,9.99994744936224,9.99948096697014
5.46,9.9991453667528,9.99997819263231,9.99918552668713,9.99910842409055,9.99997505779146,9.99912452887572
5.48,9.99864050166205,9.99998813242433,9.99868185541377,9.99851655673467,9.99998477632347,9.99859110216927
5.5,9.99878024181553,9.99994239294574,9.99879225857199,9.99861733150273,9.99992418985556,9.99869776185121
5.52,9.9994598438352,9.99932898618871,9.99944537323299,9.99937993878608,9.99924737536116,9.99940973687424
