"Freq [GHz]","dB10(MEG1) []","dB10(MEG2) []","dB10(MEG3) []","dB10(MEG4) []"
4.8,-5.61469162523561,-5.61292616104375,-5.639906249624,-5.61097142631064
4.82,-5.37677870593749,-5.3742085414919,-5.40059864467259,-5.37517594248101
4.84,-5.14508035696981,-5.14170381016061,-5.16736414765569,-5.14553191277661
4.86,-4.92067385383434,-4.91650535441144,-4.94128703447398,-4.92308497985105
4.88,-4.70467930781432,-4.69975155469264,-4.72349894990156,-4.70892131046965
4.9,-4.49824271853621,-4.49260854277672,-4.51516240779531,-4.50415144318957
4.92,-4.30251483767431,-4.29624860343138,-4.31744993368006,-4.30989021651557
4.94,-4.11862611871178,-4.11182448815427,-4.13151905929742,-4.12723303991186
4.96,-3.94765842142804,-3.94044031972099,-3.95848377859246,-3.95722913291209
4.98,-3.7906145680707,-3.78312021428236,-3.79938351890271,-3.80085275086993
5,-3.64838725687577,-3.64077617697924,-3.65515111644968,-3.65897379100331
5.02,-3.52172915956582,-3.51417716639224,-3.52658164167803,-3.53232946742957
5.04,-3.41122619268756,-3.40392139839985,-3.41430412338207,-3.42149889535028
5.06,-3.31727590120372,-3.31041391158029,-3.31875820825988,-3.32688238157867
5.08,-3.24007260193491,-3.23385111678387,-3.24017753201773,-3.24868695733823
5.1,-3.17960042110582,-3.17421352106298,-3.17858108076882,-3.18691922542125
5.12,-3.1356346887326,-3.13126711679419,-3.13377314689455,-3.14138598318353
5.14,-3.10775142351059,-3.10457316691043,-3.10535173325684,-3.11170241695073
5.16,-3.09534397860687,-3.09350542512486,-3.0927245608417,-3.09730705335112
5.18,-3.09764545057383,-3.09727334121449,-3.09513132568622,-3.09748221936312
5.2,-3.11375531741268,-3.11494965551101,-3.11167067823062,-3.11137863607041
5.22,-3.1426691446619,-3.14550115864001,-3.14133075114321,-3.13804312395302
5.24,-3.18331139663132,-3.18782258286242,-3.18302326906366,-3.17644953746612
5.26,-3.23457408811595,-3.24077622110392,-3.23562402556254,-3.22553561235947
5.28,-3.29536967053433,-3.30324523808836,-3.29802829202068,-3.28425374167751
5.3,-3.36471806974296,-3.37421918661042,-3.36924146725498,-3.35165434425872
5.32,-3.44190958482058,-3.45294918362871,-3.44854741349646,-3.42703994141773
5.34,-3.52681715751892,-3.53923501617933,-3.53582904048828,-3.51025439520257
5.36,-3.62043091781785,-3.63389531840207,-3.63211415414349,-3.60216379471699
5.38,-3.72543394231461,-3.73923617550868,-3.7401572532749,-3.70515158076549
5.4,-3.84556868872354,-3.85845083711321,-3.86376150319292,-3.82255085810813
5.42,-3.9810540583005,-3.99177498783161,-4.00296906788235,-3.95477789868079
5.44,-4.12138211474844,-4.13044071150084,-4.14636449591322,-4.09320307058016
5.46,-4.24866046436757,-4.25899817036562,-4.2741635208771,-4.22248582995942
5.48,-4.3642115437137,-4.38030493592518,-4.38562852479662,-4.34479671197205
5.5,-4.55699814114455,-4.58478808061915,-4.57331947457004,-4.54545877065904
5.52,-4.84316230310927,-4.87876879876443,-4.86629819420154,-4.83183603409949
5.54,-5.03440297969846,-5.06965179525138,-5.06560053854106,-5.02232529751561
5.56,-5.17049578441202,-5.20419008514929,-5.20538367402376,-5.16007994345759
5.58,-5.29426603810562,-5.32654386738308,-5.33060098931646,-5.28655699666716
5.6,-5.41514434628049,-5.44598368757102,-5.45182952470597,-5.41045495684098
5.62,-5.53371726409726,-5.56291735055528,-5.57004559399841,-5.53206540150029
5.64,-5.648363769873,-5.6756144781362,-5.68374648545546,-5.64960563644822
5.66,-5.75669092862367,-5.78161675252328,-5.79056775412939,-5.76055439671538
5.68,-5.85589016802657,-5.87808398884501,-5.88770832719288,-5.86198464434096
5.7,-5.94292484564334,-5.96198519362207,-5.97214963801406,-5.95075475248247
5.72,-6.01477548870001,-6.03035088799778,-6.04091774242214,-6.02376618421761
5.74,-6.06878489807301,-6.08061919728593,-6.09143531573248,-6.07831989700575
5.76,-6.10305604018265,-6.11102124479167,-6.12191567654348,-6.11251753409486
5.78,-6.11680478458893,-6.12090580058452,-6.13170025286623,-6.12560625171139
5.8,-6.11056699353303,-6.11090761712044,-6.1214414022007,-6.11816814359143
5.82,-6.08620127149353,-6.08291176945268,-6.09307827492435,-6.09210105098459
5.84,-6.04667931326599,-6.03982125847133,-6.04960795948007,-6.05039077579201
5.86,-5.99567574489103,-5.9851588763947,-5.99467749418602,-5.99669684058775
5.88,-5.93696067255326,-5.92252489892593,-5.93201233201159,-5.93476589822297
5.9,-5.87362142925876,-5.85493308410857,-5.86470308193291,-5.86770039125814
5.92,-5.80724482398358,-5.784099276669,-5.79444274489321,-5.79718747028824
5.94,-5.73730618204859,-5.70984169048491,-5.72090946002823,-5.72289086273242
5.96,-5.66106225092406,-5.62987224351183,-5.64159491765424,-5.64229961615976
5.98,-5.57431486578399,-5.54042638665087,-5.55250835380974,-5.55145449147559
6,-5.47322267461856,-5.43797329852083,-5.44996438301861,-5.44675595308412
6.02,-5.35637259046414,-5.3212220401461,-5.33263586074695,-5.32702534476344
6.04,-5.22558991335723,-5.1919180152011,-5.20233680296315,-5.19427357151816
6.06,-5.08501326440855,-5.05397178579256,-5.06308539213952,-5.05273591089873
6.08,-4.93957740499779,-4.9120231817181,-4.91959226798218,-4.90734194664521
6.1,-4.79414909040691,-4.77062733534262,-4.77638449180827,-4.76284711244922
6.12,-4.65356183014615,-4.63429889790339,-4.63778446565316,-4.62384689309042
6.14,-4.52288663451454,-4.50783201765235,-4.50813883405015,-4.49505135890308
6.16,-4.40649713760748,-4.39566402759958,-4.39117670675576,-4.38057708153177
6.18,-4.30670565709669,-4.30092700361405,-4.28988389894683,-4.2831144326375
6.2,-4.23411124318962,-4.23438812289026,-4.21784131083938,-4.21367811374871
6.22,-4.211714173335,-4.2165163390681,-4.19987570074877,-4.19374465338529
6.24,-4.22750337790775,-4.2336080398049,-4.22215339464724,-4.20941549536331
6.26,-4.23702426470963,-4.24177733590871,-4.23821046168434,-4.21591604216484
6.28,-4.21129246332584,-4.21315531586453,-4.21825401400854,-4.18524306904498
6.3,-4.14661556624319,-4.14527066161119,-4.15843000641672,-4.11534380617469
6.32,-4.05222825505923,-4.04831062784893,-4.06804707377923,-4.01683299185846
6.34,-3.93969209007731,-3.93427274876585,-3.95877894781665,-3.90195085946975
6.36,-3.8185151398832,-3.81268498400938,-3.84020465047375,-3.78031141199775
6.38,-3.6955012458366,-3.69016151006685,-3.71914281063992,-3.65852820804742
6.4,-3.57537610441974,-3.57117476444227,-3.60028755441712,-3.54103415568617
6.42,-3.46155222151396,-3.45888952103565,-3.48698803125832,-3.43093789148099
6.44,-3.35670477192639,-3.3557616952244,-3.38183741684117,-3.33062943408352
6.46,-3.26313626840347,-3.26390601290362,-3.28704884154123,-3.24214721412161
6.48,-3.18298181461968,-3.18529848559747,-3.2046710356894,-3.16737683836738
6.5,-3.11830624464565,-3.12187119094787,-3.13669595968048,-3.10814125192533
6.52,-3.07112939309315,-3.07553787427679,-3.08509519306434,-3.06622183201238
6.54,-3.04340298708348,-3.04817447185359,-3.05180865139528,-3.04333493327271
6.56,-3.03695485877176,-3.04157027458387,-3.03870106678857,-3.04107956926315
6.58,-3.05341229982089,-3.05736153390313,-3.04749767074092,-3.06086742182312
6.6,-3.09411480343551,-3.09695815438323,-3.07970920222195,-3.10384429180692
6.62,-3.16002571231369,-3.16147447097247,-3.13655651498441,-3.17081091102409
6.64,-3.25165124783024,-3.2516763068583,-3.21890585201044,-3.26214956610201
6.66,-3.36897325554901,-3.36795868268362,-3.32722698901298,-3.37776040238062
6.68,-3.51139871438054,-3.51037302549558,-3.4615883192316,-3.51700720017111
6.7,-3.67772675102632,-3.6787318096777,-3.62170622230026,-3.6786679420018
6.72,-3.86614319414221,-3.8728273977432,-3.8070656440813,-3.86088863627081
6.74,-4.07431698940654,-4.09272881775307,-4.01707018941904,-4.06118992711362
6.76,-4.2999106983567,-4.33837710469942,-4.25073074297386,-4.27682967160372
6.78,-4.54202579409955,-4.60452958608517,-4.50393814499347,-4.50643500764516
6.8,-4.80279029559029,-4.87233722544935,-4.76649199446153,-4.75261856599326
6.82,-5.08479675686374,-5.12560903789693,-5.02853610837792,-5.01862530187108
6.84,-5.38623764401185,-5.38247361734577,-5.29948218091716,-5.31181103585138
6.86,-5.70320007573376,-5.66172811622756,-5.58764698374883,-5.62651255501089
6.88,-6.02151877200296,-5.95429750384936,-5.8843258936527,-5.94107233355652
6.9,-6.3361847424127,-6.25274404597238,-6.18506660594195,-6.24993048742767
6.92,-6.64691251933384,-6.55327555304766,-6.4875070327277,-6.5538193460239
6.94,-6.95329201255474,-6.85320673478129,-6.78946478208605,-6.85302846839384
6.96,-7.25428907494599,-7.15025067439372,-7.08881017112314,-7.14690935410235
6.98,-7.54850757620723,-7.44233519599237,-7.38350365470586,-7.43428139194835
7,-7.83438985434366,-7.72753096147254,-7.67160187683039,-7.71371417495183
7.02,-8.11031719350443,-8.00400992935977,-7.95124501124518,-7.98366832746324
7.04,-8.37465299521397,-8.2700155767168,-8.22063834087922,-8.2425590159627
7.06,-8.62575782420494,-8.5238393729459,-8.47803334431932,-8.4887818817688
7.08,-8.86199170040736,-8.76380161948274,-8.72171037380108,-8.72072153060915
7.1,-9.08171150560456,-8.98823606441111,-8.94996393025469,-8.93675263489529
7.12,-9.283267661739,-9.1954782316082,-9.16109117851726,-9.1352388602212
7.14,-9.46500239429325,-9.38385762517902,-9.35338420395279,-9.31453247094013
7.16,-9.62525093425612,-9.55169404708053,-9.52512642880592,-9.47297626733263
7.18,-9.76234646867373,-9.69729826408554,-9.6745935271277,-9.60890884350643
7.2,-9.87462930305806,-9.81897720985746,-9.80005908234578,-9.72067374515656
