Freq [GHz],"dB(S(1,1)) []",dB(RealizedGainTotal) []
4.8,-1.4752277,0.461509656
4.82,-1.566572329,0.718367415
4.84,-1.666111904,0.97771931
4.86,-1.774807506,1.239468316
4.88,-1.893761913,1.503487153
4.9,-2.024245352,1.769612899
4.92,-2.167726937,2.037640645
4.94,-2.325913342,2.307316003
4.96,-2.500796725,2.57832626
4.98,-2.694714629,2.850290135
5,-2.910425595,3.122745638
5.02,-3.15120563,3.395135998
5.04,-3.420972853,3.666793542
5.06,-3.724450854,3.936920912
5.08,-4.067386413,4.204569737
5.1,-4.45684534,4.468617028
5.12,-4.901623779,4.727738793
5.14,-5.412835666,4.980382042
5.16,-6.004779049,5.22473594
5.18,-6.696263306,5.458703592
5.2,-7.51273779,5.67987755
5.22,-8.489901478,5.88552231
5.24,-9.680262138,6.072569454
5.26,-11.16615715,6.237631258
5.28,-13.08885266,6.377041452
5.3,-15.72564108,6.486930176
5.32,-19.75855138,6.563341816
5.34,-27.91445413,6.602399873
5.36,-31.23112125,6.600519804
5.38,-20.69609751,6.554663489
5.4,-16.01682517,6.462621625
5.42,-13.02142008,6.323303735
5.44,-10.85269842,6.137011355
5.46,-9.187436291,5.905670182
5.48,-7.867766884,5.633000976
5.5,-6.803763867,5.324613714
5.52,-5.938423494,4.988011594
5.54,-5.232588502,4.632487084
5.56,-4.657641891,4.26888262
5.58,-4.191657514,3.909177988
5.6,-3.817237598,3.565870347
5.62,-3.52022955,3.251141239
5.64,-3.288924131,2.975869258
5.66,-3.113528021,2.748630246
5.68,-2.985798933,2.57489012
5.7,-2.898780919,2.456593322
5.72,-2.846603951,2.392256723
5.74,-2.82432615,2.377530847
5.76,-2.827804643,2.406058282
5.78,-2.853585056,2.470404135
5.8,-2.898801449,2.562865638
5.82,-2.961078986,2.676050746
5.84,-3.038431098,2.80320077
5.86,-3.129141559,2.938289323
5.88,-3.231620076,3.075955001
5.9,-3.3442184,3.211326329
5.92,-3.464994345,3.339789219
5.94,-3.591417257,3.456738556
5.96,-3.720026833,3.557354956
5.98,-3.846096954,3.636455444
6,-3.963424042,3.688484292
6.02,-4.064445423,3.707729802
6.04,-4.140944946,3.688857676
6.06,-4.185513098,3.627816387
6.08,-4.193592864,3.52306363
6.1,-4.165431228,3.376880624
6.12,-4.106948087,3.196342133
6.14,-4.028874319,2.993422261
6.16,-3.944432661,2.783883842
6.18,-3.866625786,2.585031185
6.2,-3.806225379,2.41291869
6.22,-3.770946441,2.279891207
6.24,-3.765640554,2.193190377
6.26,-3.793047051,2.154876558
6.28,-3.854683782,2.162790602
6.3,-3.951638266,2.212002454
6.32,-4.085182063,2.296224809
6.34,-4.257225784,2.408886542
6.36,-4.470669753,2.543784184
6.38,-4.729711506,2.695369942
6.4,-5.040166148,2.858786808
6.42,-5.409849652,3.029752918
6.44,-5.849072043,3.204371511
6.46,-6.371284789,3.378913062
6.48,-6.993912373,3.549597775
6.5,-7.739330645,3.712394047
6.52,-8.635695671,3.862846857
6.54,-9.71639742,3.995950478
6.56,-11.01362261,4.106088873
6.58,-12.5301376,4.187069403
6.6,-14.14062759,4.232281845
6.62,-15.35823191,4.235006511
6.64,-15.3414765,4.188877253
6.66,-13.97070824,4.08847024
6.68,-12.06552823,3.929948045
6.7,-10.22079738,3.711654013
6.72,-8.618663942,3.434546284
6.74,-7.274807533,3.102394537
6.76,-6.161162182,2.721728785
6.78,-5.243096095,2.301599556
6.8,-4.488867087,1.85325125
6.82,-3.8714325,1.389806716
6.84,-3.368324214,0.926010075
6.86,-2.961120303,0.477996764
6.88,-2.634895503,0.062977198
6.9,-2.377730039,-0.301340037
6.92,-2.180283787,-0.597756982
6.94,-2.035427118,-0.811095848
6.96,-1.93791411,-0.930061556
6.98,-1.884075979,-0.949054961
7,-1.871499841,-0.869400134
7.02,-1.89863941,-0.699578598
7.04,-1.964281555,-0.454427266
7.06,-2.066773834,-0.153628736
7.08,-2.202926155,0.180043126
7.1,-2.36658265,0.522396884
7.12,-2.547088572,0.849354502
7.14,-2.728288729,1.13845646
7.16,-2.889135247,1.370445619
7.18,-3.006928555,1.53084101
7.2,-3.06299937,1.61117705
