"cut1 [mm]","Wo1 [mm]","Freq [GHz]","dB(S(1,1)) []"
0.5,13,4.8,-1.20508058212523
0.5,13,4.82,-1.2671475336236
0.5,13,4.84,-1.33362264276826
0.5,13,4.86,-1.40489053853318
0.5,13,4.88,-1.48137553697117
0.5,13,4.9,-1.56354650614045
0.5,13,4.92,-1.65192246340113
0.5,13,4.94,-1.7470790458593
0.5,13,4.96,-1.84965602934921
0.5,13,4.98,-1.96036611604858
0.5,13,5,-2.08000526945579
0.5,13,5.02,-2.20946495257894
0.5,13,5.04,-2.34974672766258
0.5,13,5.06,-2.50197981306965
0.5,13,5.08,-2.6674423783962
0.5,13,5.1,-2.84758761202815
0.5,13,5.12,-3.04407594406057
0.5,13,5.14,-3.25881529405972
0.5,13,5.16,-3.49401189994283
0.5,13,5.18,-3.75223526835148
0.5,13,5.2,-4.03650222019965
0.5,13,5.22,-4.35038713069774
0.5,13,5.24,-4.69816868469857
0.5,13,5.26,-5.08502846742083
0.5,13,5.28,-5.51732468693646
0.5,13,5.3,-6.00297745669514
0.5,13,5.32,-6.55202447851432
0.5,13,5.34,-7.1774458391421
0.5,13,5.36,-7.89643106786875
0.5,13,5.38,-8.73240865417593
0.5,13,5.4,-9.71846908660488
0.5,13,5.42,-10.9035263861794
0.5,13,5.44,-12.3643831151238
0.5,13,5.46,-14.2321852571803
0.5,13,5.48,-16.7605779249737
0.5,13,5.5,-20.551871028997
0.5,13,5.52,-27.7647904643137
0.5,13,5.54,-33.9503464351397
0.5,13,5.56,-22.5268098248419
0.5,13,5.58,-17.545890018137
0.5,13,5.6,-14.3831823299035
0.5,13,5.62,-12.0946005489891
0.5,13,5.64,-10.3357203708194
0.5,13,5.66,-8.94276751905008
0.5,13,5.68,-7.82440458371619
0.5,13,5.7,-6.92331082409588
0.5,13,5.72,-6.19981900500196
0.5,13,5.74,-5.62417286457369
0.5,13,5.76,-5.17266738899306
0.5,13,5.78,-4.82568986777035
0.5,13,5.8,-4.56671503705493
0.5,13,5.82,-4.38176338546763
0.5,13,5.84,-4.25906266650767
0.5,13,5.86,-4.18877976791696
0.5,13,5.88,-4.16275979900612
0.5,13,5.9,-4.17424384516405
0.5,13,5.92,-4.21754991210241
0.5,13,5.94,-4.2877026815296
0.5,13,5.96,-4.37999433662455
0.5,13,5.98,-4.48945862738382
0.5,13,6,-4.61025456486983
0.5,13,6.02,-4.73500181821714
0.5,13,6.04,-4.85420844503767
0.5,13,6.06,-4.95609088152345
0.5,13,6.08,-5.02725225375492
0.5,13,6.1,-5.05467745261589
0.5,13,6.12,-5.02904396820265
0.5,13,6.14,-4.94837009803129
0.5,13,6.16,-4.82013959668961
0.5,13,6.18,-4.66034483680814
0.5,13,6.2,-4.48962072417091
0.5,13,6.22,-4.3284036487567
0.5,13,6.24,-4.19328712346734
0.5,13,6.26,-4.09556184582683
0.5,13,6.28,-4.04161637246852
0.5,13,6.3,-4.03430398189398
0.5,13,6.32,-4.07449371663869
0.5,13,6.34,-4.16238552999046
