"cut [mm]","Wo [mm]","Freq [GHz]","dB(S(1,1)) []"
1.5,10.3,4.8,-1.43618581462448
1.5,10.3,4.82,-1.52342742480358
1.5,10.3,4.84,-1.61833683449982
1.5,10.3,4.86,-1.72179592536646
1.5,10.3,4.88,-1.83481459670961
1.5,10.3,4.9,-1.95855379347599
1.5,10.3,4.92,-2.09435359740997
1.5,10.3,4.94,-2.24376773011859
1.5,10.3,4.96,-2.40860625059876
1.5,10.3,4.98,-2.5909888318622
1.5,10.3,5,-2.79341185054055
1.5,10.3,5.02,-3.01883374281888
1.5,10.3,5.04,-3.27078486610505
1.5,10.3,5.06,-3.55351078057087
1.5,10.3,5.08,-3.87216197154539
1.5,10.3,5.1,-4.23304951615094
1.5,10.3,5.12,-4.64399675414197
1.5,10.3,5.14,-5.11483482369696
1.5,10.3,5.16,-5.65812114813231
1.5,10.3,5.18,-6.29021725158273
1.5,10.3,5.2,-7.03297301580621
1.5,10.3,5.22,-7.91649204342574
1.5,10.3,5.24,-8.98395624880072
1.5,10.3,5.26,-10.3007083620226
1.5,10.3,5.28,-11.9731172317242
1.5,10.3,5.3,-14.1933395832358
1.5,10.3,5.32,-17.3679307209279
1.5,10.3,5.34,-22.6104157036637
1.5,10.3,5.36,-32.0677087296345
1.5,10.3,5.38,-23.4048691395223
1.5,10.3,5.4,-17.5158310989367
1.5,10.3,5.42,-13.9845721401524
1.5,10.3,5.44,-11.5145576727426
1.5,10.3,5.46,-9.65536865299199
1.5,10.3,5.48,-8.20099386283272
1.5,10.3,5.5,-7.03936741538096
1.5,10.3,5.52,-6.10172191500591
1.5,10.3,5.54,-5.34185353722048
1.5,10.3,5.56,-4.7264683125824
1.5,10.3,5.58,-4.23027051855449
1.5,10.3,5.6,-3.83329209638817
1.5,10.3,5.62,-3.51935539532964
1.5,10.3,5.64,-3.27513673375674
1.5,10.3,5.66,-3.08956046991022
1.5,10.3,5.68,-2.95338167656905
1.5,10.3,5.7,-2.85888126775669
1.5,10.3,5.72,-2.79963180954362
1.5,10.3,5.74,-2.77031025903514
1.5,10.3,5.76,-2.76654316282384
1.5,10.3,5.78,-2.78477441983092
1.5,10.3,5.8,-2.82214765182727
1.5,10.3,5.82,-2.87639553656941
1.5,10.3,5.84,-2.94572755481621
1.5,10.3,5.86,-3.02870558731041
1.5,10.3,5.88,-3.12409372307525
1.5,10.3,5.9,-3.23066483929283
1.5,10.3,5.92,-3.34694322608975
1.5,10.3,5.94,-3.4708630160762
1.5,10.3,5.96,-3.59933342778758
1.5,10.3,5.98,-3.72773616808616
1.5,10.3,6,-3.84945383674033
1.5,10.3,6.02,-3.95564835310166
1.5,10.3,6.04,-4.03564135030841
1.5,10.3,6.06,-4.07827303054557
1.5,10.3,6.08,-4.07433369399265
1.5,10.3,6.1,-4.01948645235409
1.5,10.3,6.12,-3.91638166120849
1.5,10.3,6.14,-3.77466106037301
