Freq [GHz],"dB(S(1,1)) []","dB(S(1,1)) []"
4.8,-3.885439038,-1.4752277
4.82,-4.21653409,-1.566572329
4.84,-4.582347184,-1.666111904
4.86,-4.987211842,-1.774807506
4.88,-5.436159752,-1.893761913
4.9,-5.935091116,-2.024245352
4.92,-6.491007107,-2.167726937
4.94,-7.112332756,-2.325913342
4.96,-7.809373076,-2.500796725
4.98,-8.594967482,-2.694714629
5,-9.48544071,-2.910425595
5.02,-10.50199243,-3.15120563
5.04,-11.67270149,-3.420972853
5.06,-13.03522003,-3.724450854
5.08,-14.63938949,-4.067386413
5.1,-16.5444789,-4.45684534
5.12,-18.78310869,-4.901623779
5.14,-21.16487107,-5.412835666
5.16,-22.67605987,-6.004779049
5.18,-21.91487996,-6.696263306
5.2,-19.7298043,-7.51273779
5.22,-17.47865122,-8.489901478
5.24,-15.53856741,-9.680262138
5.26,-13.91196054,-11.16615715
5.28,-12.5396893,-13.08885266
5.3,-11.36686599,-15.72564108
5.32,-10.35120873,-19.75855138
5.34,-9.461150863,-27.91445413
5.36,-8.672999798,-31.23112125
5.38,-7.968698505,-20.69609751
5.4,-7.334249297,-16.01682517
5.42,-6.758628911,-13.02142008
5.44,-6.233036938,-10.85269842
5.46,-5.750372948,-9.187436291
5.48,-5.304891669,-7.867766884
5.5,-4.891982617,-6.803763867
5.52,-4.507987084,-5.938423494
5.54,-4.150038625,-5.232588502
5.56,-3.815957337,-4.657641891
5.58,-3.504182888,-4.191657514
5.6,-3.21372082,-3.817237598
5.62,-2.944089758,-3.52022955
5.64,-2.695262831,-3.288924131
5.66,-2.467597701,-3.113528021
5.68,-2.261750848,-2.985798933
5.7,-2.078574277,-2.898780919
5.72,-1.918996451,-2.846603951
5.74,-1.783893703,-2.82432615
5.76,-1.673962623,-2.827804643
5.78,-1.589606872,-2.853585056
5.8,-1.530852455,-2.898801449
5.82,-1.497302961,-2.961078986
5.84,-1.488141022,-3.038431098
5.86,-1.502175488,-3.129141559
5.88,-1.537927292,-3.231620076
5.9,-1.59374265,-3.3442184
5.92,-1.667921069,-3.464994345
5.94,-1.758848066,-3.591417257
5.96,-1.865128104,-3.720026833
5.98,-1.985722095,-3.846096954
6,-2.120106873,-3.963424042
6.02,-2.268495355,-4.064445423
6.04,-2.432196013,-4.140944946
6.06,-2.61427247,-4.185513098
6.08,-2.820843221,-4.193592864
6.1,-3.063753807,-4.165431228
6.12,-3.366136844,-4.106948087
6.14,-3.773247742,-4.028874319
6.16,-4.366588834,-3.944432661
6.18,-5.237943896,-3.866625786
6.2,-6.265292426,-3.806225379
6.22,-6.901107821,-3.770946441
6.24,-6.977691046,-3.765640554
6.26,-6.918015412,-3.793047051
6.28,-6.964863719,-3.854683782
6.3,-7.153245348,-3.951638266
6.32,-7.468735876,-4.085182063
6.34,-7.898793137,-4.257225784
6.36,-8.440723513,-4.470669753
6.38,-9.101410253,-4.729711506
6.4,-9.896974463,-5.040166148
6.42,-10.85387184,-5.409849652
6.44,-12.01184354,-5.849072043
6.46,-13.4289608,-6.371284789
6.48,-15.18711408,-6.993912373
6.5,-17.38170935,-7.739330645
6.52,-19.98375013,-8.635695671
6.54,-22.07010759,-9.71639742
6.56,-21.3522068,-11.01362261
6.58,-18.60465274,-12.5301376
6.6,-15.8784938,-14.14062759
6.62,-13.61744095,-15.35823191
6.64,-11.76987564,-15.3414765
6.66,-10.2420444,-13.97070824
6.68,-8.961075049,-12.06552823
6.7,-7.874926518,-10.22079738
6.72,-6.946175796,-8.618663942
6.74,-6.147231903,-7.274807533
6.76,-5.457319833,-6.161162182
6.78,-4.860397636,-5.243096095
6.8,-4.342095338,-4.488867087
6.82,-3.888664957,-3.8714325
6.84,-3.491231403,-3.368324214
6.86,-3.143393879,-2.961120303
6.88,-2.838959475,-2.634895503
6.9,-2.572290051,-2.377730039
6.92,-2.338490149,-2.180283787
6.94,-2.133360564,-2.035427118
6.96,-1.953306872,-1.93791411
6.98,-1.795253417,-1.884075979
7,-1.656570204,-1.871499841
7.02,-1.535011785,-1.89863941
7.04,-1.428666269,-1.964281555
7.06,-1.335912878,-2.066773834
7.08,-1.255386854,-2.202926155
7.1,-1.185950843,-2.36658265
7.12,-1.126672126,-2.547088572
7.14,-1.07680527,-2.728288729
7.16,-1.035779966,-2.889135247
7.18,-1.003194018,-3.006928555
7.2,-0.978811669,-3.06299937
