Freq [GHz],dB(RealizedGainTotal) [],dB(RealizedGainTotal) []
4.8,4.471817072,0.461509656
4.82,4.719078236,0.718367415
4.84,4.959441838,0.97771931
4.86,5.192033175,1.239468316
4.88,5.415950172,1.503487153
4.9,5.630275646,1.769612899
4.92,5.834091746,2.037640645
4.94,6.026496304,2.307316003
4.96,6.206620809,2.57832626
4.98,6.373648992,2.850290135
5,6.526835731,3.122745638
5.02,6.665524403,3.395135998
5.04,6.789162363,3.666793542
5.06,6.897313195,3.936920912
5.08,6.989664467,4.204569737
5.1,7.06603094,4.468617028
5.12,7.126351807,4.727738793
5.14,7.170682852,4.980382042
5.16,7.199182977,5.22473594
5.18,7.212095782,5.458703592
5.2,7.209727172,5.67987755
5.22,7.192419567,5.88552231
5.24,7.16052355,6.072569454
5.26,7.114368126,6.237631258
5.28,7.054229705,6.377041452
5.3,6.980300399,6.486930176
5.32,6.892656084,6.563341816
5.34,6.791223696,6.602399873
5.36,6.675747552,6.600519804
5.38,6.545753906,6.554663489
5.4,6.400512916,6.462621625
5.42,6.238994985,6.323303735
5.44,6.059817306,6.137011355
5.46,5.861178742,5.905670182
5.48,5.640797581,5.633000976
5.5,5.395861267,5.324613714
5.52,5.1229491,4.988011594
5.54,4.817907371,4.632487084
5.56,4.47570296,4.26888262
5.58,4.090255796,3.909177988
5.6,3.654227043,3.565870347
5.62,3.158736021,3.251141239
5.64,2.592965876,2.975869258
5.66,1.943591861,2.748630246
5.68,1.193912673,2.57489012
5.7,0.322467988,2.456593322
5.72,-0.699271722,2.392256723
5.74,-1.910974031,2.377530847
5.76,-3.371070792,2.406058282
5.78,-5.172231061,2.470404135
5.8,-7.476239533,2.562865638
5.82,-10.6043349,2.676050746
5.84,-15.30276809,2.80320077
5.86,-22.30599114,2.938289323
5.88,-18.3543154,3.075955001
5.9,-12.74441073,3.211326329
5.92,-9.268254793,3.339789219
5.94,-6.847452811,3.456738556
5.96,-5.024262011,3.557354956
5.98,-3.582306917,3.636455444
6,-2.403552342,3.688484292
6.02,-1.41663359,3.707729802
6.04,-0.575159038,3.688857676
6.06,0.152542074,3.627816387
6.08,0.788631632,3.52306363
6.1,1.348393133,3.376880624
6.12,1.841224678,3.196342133
6.14,2.27041552,2.993422261
6.16,2.633265861,2.783883842
6.18,2.929834856,2.585031185
6.2,3.193788916,2.41291869
6.22,3.492954151,2.279891207
6.24,3.837737899,2.193190377
6.26,4.184981196,2.154876558
6.28,4.509518602,2.162790602
6.3,4.807576829,2.212002454
6.32,5.081914507,2.296224809
6.34,5.335688622,2.408886542
6.36,5.571122153,2.543784184
6.38,5.789462428,2.695369942
6.4,5.991162144,2.858786808
6.42,6.176048377,3.029752918
6.44,6.343451001,3.204371511
6.46,6.49230277,3.378913062
6.48,6.621225566,3.549597775
6.5,6.728614541,3.712394047
6.52,6.812726908,3.862846857
6.54,6.871779051,3.995950478
6.56,6.904050789,4.106088873
6.58,6.907993683,4.187069403
6.6,6.882336233,4.232281845
6.62,6.826177475,4.235006511
6.64,6.739059156,4.188877253
6.66,6.621008946,4.08847024
6.68,6.472548448,3.929948045
6.7,6.294664982,3.711654013
6.72,6.08875375,3.434546284
6.74,5.856562221,3.102394537
6.76,5.6002726,2.721728785
6.78,5.323042144,2.301599556
6.8,5.028827609,1.85325125
6.82,4.718675945,1.389806716
6.84,4.392512151,0.926010075
6.86,4.052503698,0.477996764
6.88,3.701128857,0.062977198
6.9,3.340399795,-0.301340037
6.92,2.971947659,-0.597756982
6.94,2.597121031,-0.811095848
6.96,2.217033715,-0.930061556
6.98,1.832590248,-0.949054961
7,1.444503324,-0.869400134
7.02,1.053307955,-0.699578598
7.04,0.659374014,-0.454427266
7.06,0.262916637,-0.153628736
7.08,-0.135994759,0.180043126
7.1,-0.537430169,0.522396884
7.12,-0.941594277,0.849354502
7.14,-1.348824187,1.13845646
7.16,-1.759588871,1.370445619
7.18,-2.174490266,1.53084101
7.2,-2.594264356,1.61117705
