"Freq [GHz]","dB(S(1,1)) [] - a='-0.4mm'","dB(S(1,1)) [] - a='0.4mm'","dB(S(1,1))_1 []"
4.8,-4.60249813296525,-2.7182093911134,-3.88543903837166
4.82,-4.88316357663985,-2.95111467756044,-4.21653409021003
4.84,-5.17762177690484,-3.2099954350742,-4.58234718443583
4.86,-5.48553502382967,-3.49835111854048,-4.98721184215871
4.88,-5.80628524800323,-3.82024018798667,-5.43615975244396
4.9,-6.13891129928852,-4.1803909945094,-5.93509111648509
4.92,-6.48203756381598,-4.5843424247345,-6.49100710694088
4.94,-6.83379516471654,-5.03862496718087,-7.11233275567611
4.96,-7.19173897396726,-5.55099709350558,-7.80937307576584
4.98,-7.55276669937042,-6.13075722162936,-8.59496748163487
5,-7.91305056431453,-6.78915705278316,-9.48544070954027
5.02,-8.26799742230326,-7.53994338151199,-10.5019924292866
5.04,-8.61225877124722,-8.40003730498454,-11.6727014882229
5.06,-8.93981626594618,-9.39027178833642,-13.0352200332245
5.08,-9.24416797041085,-10.5357849780058,-14.6393894904474
5.1,-9.51863194608953,-11.8645504749579,-16.5444789044481
5.12,-9.75676383432311,-13.3987307487205,-18.7831086895803
5.14,-9.95285446379265,-15.121181885861,-21.164871072757
5.16,-10.10243923979,-16.8685931187723,-22.6760598688686
5.18,-10.2027266961009,-18.1180766354381,-21.9148799555006
5.2,-10.2528539291677,-18.1078930935622,-19.7298042973275
5.22,-10.2539084706566,-16.8460930642368,-17.4786512241224
5.24,-10.208711247076,-15.0962959720511,-15.5385674135855
5.26,-10.1214125270449,-13.3740846282116,-13.9119605350082
5.28,-9.99698979426975,-11.8385532704273,-12.5396892978135
5.3,-9.84074228389008,-10.5052389630489,-11.3668659891392
5.32,-9.65785599328356,-9.35137762427918,-10.3512087272633
5.34,-9.4530794858964,-8.34878339411529,-9.4611508630304
5.36,-9.23051903808162,-7.47231133727936,-8.67299979754516
5.38,-8.99353991978977,-6.70127448541897,-7.96869850512342
5.4,-8.74475040870572,-6.01903360901363,-7.33424929746677
5.42,-8.48604390273911,-5.41225150670532,-6.75862891098122
5.44,-8.2186783808746,-4.87020832473647,-6.2330369376545
5.46,-7.94337821686707,-4.38425828357597,-5.75037294826141
5.48,-7.66044890824842,-3.94741846970429,-5.30489166913165
5.5,-7.36989962238085,-3.55405190104407,-4.8919826165444
5.52,-7.07157124049952,-3.19961864325809,-4.50798708390955
5.54,-6.76526881011998,-2.88048869505703,-4.15003862538464
5.56,-6.4508971513994,-2.59379837335618,-3.81595733653671
5.58,-6.12859702714601,-2.33733031100336,-3.50418288753326
5.6,-5.79887705805867,-2.10940747212273,-3.21372081962429
5.62,-5.46273381788941,-1.90879565675568,-2.94408975784811
5.64,-5.12174977869752,-1.73461017608629,-2.69526283121028
5.66,-4.77815663385956,-1.58622392503494,-2.46759770050636
5.68,-4.4348507613974,-1.46317603464214,-2.26175084812247
5.7,-4.09534898448033,-1.36508235826399,-2.07857427730549
5.72,-3.76367699664669,-1.29155097729451,-1.91899645089053
5.74,-3.44419012846998,-1.24210740644519,-1.7838937031753
5.76,-3.14133612265365,-1.21613491486738,-1.67396262267789
5.78,-2.85938082475615,-1.21283511396736,-1.58960687161999
5.8,-2.60212766457827,-1.231212644902,-1.53085245539783
5.82,-2.37266732949186,-1.27008564671726,-1.49730296080121
5.84,-2.1731924000078,-1.32812117975972,-1.48814102201032
5.86,-2.00490208019957,-1.40389256339853,-1.50217548801381
5.88,-1.86800641689479,-1.49595432883274,-1.53792729226629
5.9,-1.76182182496789,-1.60293077007297,-1.59374264958586
5.92,-1.68493527505184,-1.72361641702713,-1.66792106933039
5.94,-1.6354067548953,-1.85709185152664,-1.75884806649934
5.96,-1.61097955027375,-2.00286760857793,-1.86512810354525
5.98,-1.60927392043681,-2.16108594110865,-1.98572209513286
6,-1.62794891276786,-2.33284314641016,-2.12010687292327
6.02,-1.66482648982044,-2.52076250219333,-2.26849535533635
6.04,-1.71797999894411,-2.73008934843975,-2.43219601346084
6.06,-1.7857948236196,-2.97086322547986,-2.61427247031727
6.08,-1.86701356978213,-3.26212831667449,-2.82084322066067
6.1,-1.96078323387873,-3.63843634234583,-3.06375380749804
6.12,-2.06673086277691,-4.1476783348724,-3.36613684395222
6.14,-2.18511372067809,-4.77592230233099,-3.77324774168754
6.16,-2.31713352018394,-5.26180218801785,-4.36658883396687
6.18,-2.46560182787891,-5.36935453603375,-5.23794389629591
6.2,-2.63636003678564,-5.33523016224819,-6.26529242617364
6.22,-2.84131074557507,-5.37627130139054,-6.90110782111948
6.24,-3.10467292643941,-5.5238674630886,-6.9776910460322
6.26,-3.47407374550681,-5.75969547402089,-6.9180154115891
6.28,-4.02974407155446,-6.06817686462592,-6.96486371866826
6.3,-4.84572309454925,-6.44252366924017,-7.15324534776994
6.32,-5.82989603512501,-6.88284179597654,-7.46873587608795
6.34,-6.66637438480555,-7.3944396654932,-7.89879313732098
6.36,-7.1985580297693,-7.98718034161952,-8.44072351291386
6.38,-7.56866354833422,-8.67573252524439,-9.10141025277311
6.4,-7.94115953936894,-9.4806639792373,-9.89697446290772
6.42,-8.39849781061341,-10.4305509356345,-10.8538718370581
6.44,-8.97688859810671,-11.5655457113326,-12.0118435445459
6.46,-9.7003938927531,-12.9430685259987,-13.4289608045028
6.48,-10.5970616039604,-14.6455920841266,-15.1871140808024
6.5,-11.7079911852023,-16.7824273122546,-17.3817093498792
6.52,-13.0968944531715,-19.4162198592303,-19.9837501288558
6.54,-14.865339039709,-21.9852281540741,-22.0701075903143
6.56,-17.1764808935628,-22.0601178562395,-21.3522068025563
6.58,-20.2475419306274,-19.3683563959532,-18.6046527437444
6.6,-23.7458656888199,-16.4499905760386,-15.8784937972815
6.62,-23.8688868244693,-14.0285396052724,-13.6174409484368
6.64,-20.200904864854,-12.0668133170313,-11.7698756368967
6.66,-16.818128927775,-10.4566756121055,-10.2420443980664
6.68,-14.2143395122462,-9.11447065183619,-8.96107504945142
6.7,-12.1764393528907,-7.98175860650459,-7.87492651776544
6.72,-10.5346212077533,-7.0176552257464,-6.9461757955753
6.74,-9.18155971467739,-6.19337888124001,-6.14723190257552
6.76,-8.04814818270838,-5.489519460442,-5.45731983297972
6.78,-7.08765766290651,-4.89375484408458,-4.86039763593005
6.8,-6.26689964716083,-4.38778101843678,-4.34209533810699
6.82,-5.56126195522607,-3.93362307170157,-3.88866495654157
6.84,-4.95182380700595,-3.51817547774281,-3.49123140276588
6.86,-4.42361226691046,-3.15093004656515,-3.14339387869339
6.88,-3.9645099811822,-2.83156988636545,-2.83895947514009
